date time;attacker id;att name;att power;att team;defender id;def name;def power;team;attacker patronage;defender patronage;
24/12/24;4292840;Mangas;1131738;Cai LaC Seb Neb Yas Krv;4378306;Ставр;1097974;Ruf K'A Dan Hei Iri Kho;Vex(9076) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Oli(11064) Vex(11064) Cai(11064) Bis(8134) Alb(11064);
23/12/24;4712527;HRCAK;1173103;Alb Mar Jhu Cel Yas Aur;4862047;Klyk;1071213;Ami Neb Hei Pol Mar Kho;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Axe(11064) Cai(11064) Bis(11064) Kho(11064) Oli(11064);
23/12/24;4868542;stratis;1119924;Kho Hel Dor Ori Jor Aur;31601374;Tang Men;1094368;Dan Neb Ori Aug Dor Kho;Kho(11064) Axe(11064) Mer(11064) Oli(9461) Cai(11064);Fen(11064) Cai(11064) Mer(11064) Alb(11064) Axe(11064);
23/12/24;23402789;Ragto;965677;Kho Aid Aug Ori Neb Dan;31610127;Athanatos;1028449;Dan Neb Ori Aug Dor Kho;Kho(6396) Axe(11064) Bis(10364)  ###  Cai(9018);Cai(11064)  ###  Mer(11064) Alb(11064) Axe(11064);
23/12/24;23402789;Ragto;965677;Kho Aid Aug Ori Neb Dan;35618119;Arathorn;1073431;Dan Neb Ori LaC Iri Kho;Kho(6396) Axe(11064) Bis(10364)  ###  Cai(9018);Cai(11064)  ###  Mer(11064) Mar(11064) Oli(11064);
23/12/24;4425955;Tobi;1113316;Kho Mar Hei Neb Jhu Dan;31599975;JayDee;1147161;Nin Dan Isa Seb Mar Axe;Axe(11064) Alb(11064)  ###  Vex(6978) Cai(10154);Fen(11064) Cai(11064) Oli(11064) Alb(11064) Axe(11064);
23/12/24;4668830;TrumpReturns;1023142;Axe Fac Jor Seb Neb Jhu;4589969;Tиша;1186489;Ruf Ami Neb Hei Pol Kho;Mar(8108) Axe(11064) Alb(11064) Cai(11064) Vex(10154);Oli(11064) Axe(11064) Cai(11064) Bis(11064) Kho(11064);
21/12/24;4454896;Team D;1114695;Kho Iri Hei Neb Jhu Isa;4171300;Kislo;1115396;Cle Ami Neb Seb Pol Axe;Bis(8134) Axe(11064) Cai(11064) Vex(6676) Oli(11064);Bis(11064) Oli(9734) Cai(11064) Alb(11064) Mar(9020);
21/12/24;4668830;TrumpReturns;1133588;Axe Fac Seb Kai K'A Aur;4584215;Team F Covid;1071571;Dan Mor Cel Seb Iri Axe;Mar(8108) Alb(11064) Axe(11064) Vex(10154) Cai(11064);Cai(11064) Axe(11064) Bis(6676) Fen(9018) Oli(11064);
21/12/24;4868542;stratis;1131453;Kho Hel Dor Ori Neb Aur;20923589;Dropped;1105189;Krv Kay Dan Seb Aid Axe;Kho(11064) Axe(11064) Mer(11064)  ###  Cai(11064);Bis(9428) Alb(11064) Cai(11064) Fen(9428) Mer(9428);
20/12/24;4668830;TrumpReturns;1088307;Axe Iri Seb Isa K'A Aur;4697676;Team 4697676;1090718;Ast Dan Neb Ori Aug Axe;Bis(10098) Alb(11064) Oli(9018) Vex(10154) Cai(11064);Oli(11064) Cai(11064)  ###  Bis(9450) Kho(9020);
20/12/24;4668830;TrumpReturns;1088307;Axe Iri Seb Isa K'A Aur;4607503;hakurou;1131589;Aur Ara Ami Neb Hei Axe;Bis(10098) Alb(11064) Oli(9018) Vex(10154) Cai(11064);Cai(11064) Mar(11064) Bis(11064)  ###  Alb(11064);
20/12/24;4868542;stratis;931828;Kho Pol Aug Ori Jud Aur;4292695;Fatal_fury;1072025;Dan Neb Ori Aug Aid Kho;Kho(11064) Alb(9428) Mer(11064) Mar(8626) Cai(11064);Cai(11064)  ###  Axe(11064) Alb(11064) Mer(11064);
20/12/24;4868542;stratis;931828;Kho Pol Aug Ori Jud Aur;23402141;Lolocruz;1114536;Krv Yas Qin Pol Mar Axe;Kho(11064) Alb(9428) Mer(11064) Mar(8626) Cai(11064);Alb(11064) Cai(9018) Fen(11064) Bis(11064)  ###;
19/12/24;4454896;Team D;1074052;Axe Hel Aug Ori Neb Aur;4290509;Mr. 7;1045331;Ast And Yas Seb Jet Axe;Mer(6676) Alb(11064) Axe(11064)  ###  Cai(11064);Oli(9292) Mar(6063) Cai(11064) Fen(8218) Axe(11064);
19/12/24;4712527;HRCAK;1172585;Oli Mar Jhu Cel Yas Aur;20924235;Skyrider;953244;Aur And Cel Seb Iri Axe;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Cai(11064) Fen(11064) Axe(9428) Alb(7804) Oli(11064);
19/12/24;4668830;TrumpReturns;1087050;Axe Iri Seb Isa K'A Aur;6749986;Maverick;1130412;Aur Ara Ami Neb Pol Axe;Bis(10070) Alb(11064) Oli(9018) Vex(10154) Cai(11064);Oli(11064) Axe(11064) Bis(11064) Cai(11064) Mar(9018);
19/12/24;23402789;Ragto;1128085;Alb Dor Iri Hei Mor Krv;21750389;kuga;1060842;Dan Neb Seb Iri Dor Cai;Mer(10252) Bis(10364) Axe(11064) Oli(11064) Alb(11064);Cai(11064)  ###  Alb(11064) Bis(7262) Axe(11064);
19/12/24;4868542;stratis;977860;Axe Pol Ori Neb Jud Aur;4302911;Team bbbPKo;1083417;Dan Seb Ori Iri Dor Axe;Kho(11064) Mer(11064)  ###  Axe(11064) Cai(11064);Cai(11064) Oli(11064) Kho(11064) Alb(11064) Axe(11064);
19/12/24;4868542;stratis;991163;Axe Pol Ori Neb Mor Aur;4298947;Nitzky;1059196;Ruf Ami Neb Hei Mar Kho;Kho(11064) Mer(11064)  ###  Axe(11064) Cai(11064);Oli(11064) Bis(6327) Cai(11064) Alb(11064) Axe(11064);
19/12/24;4668830;TrumpReturns;1115077;Axe Fac Jor Kai K'A Aur;21748584;Mr.lee;1005354;Ruf Seb Hei Iri Dor Axe;Mar(8108) Axe(11064) Bis(10070) Vex(10154) Cai(11064);Bis(9428) Oli(9428) Cai(9428) Alb(11064) Axe(11064);
18/12/24;4868542;stratis;1069638;Kho Hel Aug Ori Neb Aur;4616880;JoJorisar;1003113;Ast Yas Dan Isa Ori Axe;Kho(11064) Alb(9428) Mer(11064)  ###  Cai(11064);Oli(11064) Alb(11064) Cai(5683) Axe(11064) Mar(5947);
18/12/24;4868542;stratis;1131453;Axe Hel Dor Ori Neb Aur;4621490;Teamel VUR;1032271;Aur Dan Neb Seb Mar Mar;Kho(11064) Axe(11064) Mer(11064)  ###  Cai(11064);Mer(9428) Fen(5947) Cai(9428) Alb(9428) Axe(10378);
18/12/24;4208957;patlacoche;1190795;Axe Seb Kai Dan K'A Krv;20927669;Hi-Ji;1062737;Aur Qin Cel Iri Mar Axe;Alb(11064) Bis(11064) Cai(11064) Mar(11064) Oli(11064);Axe(10378) Fen(9428) Mer(9428) Alb(9538) Oli(7914);
18/12/24;4454896;Team D;1124529;Axe Iri Seb Isa Dan Ruf;4634885;Noyo;1117959;Aur Seb Ori Aug Dor Kho;Bis(7969) Alb(11064) Oli(11064) Cai(11064) Axe(11064);Cai(11064) Alb(11064) Axe(11064) Kho(11064) Mer(11064);
18/12/24;4668830;TrumpReturns;1102808;Axe Iri Seb Kai K'A Aur;20927731;gabacho;1092797;Dan Mor Seb Iri Mar Axe;Bis(10028) Alb(11064) Axe(11064) Vex(10154) Cai(11064);Fen(1895) Oli(11064) Alb(11064) Bis(11064) Axe(11064);
18/12/24;4712527;HRCAK;1172148;Alb Mar Jhu Cel Yas Aur;4716279;Supermax;967412;Krv Ami Neb Hei Pol Kho;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Oli(11064) Axe(9428) Cai(11064) Alb(9428) Mar(11064);
18/12/24;23402789;Ragto;912529;Kho Aid Aug Ori Neb Dan;4325679;sakurakko;1121375;Krv Dan Hei Iri Dor Axe;Kho(6187) Axe(11064) Bis(10364)  ###  Cai(9018);Oli(11064) Cai(11064) Bis(7804) Alb(9428) Axe(11064);
18/12/24;4454896;Team D;1087774;Axe Iri Aug Ori Neb Aur;8607691;Drug addiction;1119001;Krv Dan Kei Seb Mar Alb;Bis(8024) Alb(11064) Axe(11064)  ###  Cai(11064);Oli(11064) Cai(11064) Alb(11064)  ###  Axe(11064);
18/12/24;4712527;HRCAK;1172148;Oli Mar Jhu Cel Yas Aur;4285270;Mogami;1139644;Krv K'A Yas Kai Seb Oli;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Oli(11064) Fen(9428) Cai(10114) Axe(10114) Alb(11064);
18/12/24;4208957;patlacoche;1191542;Axe Mar Seb Dan K'A Krv;4415886;TAKAYUU;1046447;Krv K'A Yas Ori Mar Oli;Axe(11064) Alb(11064) Cai(11064) Mar(11064) Oli(11064);Oli(11064) Fen(4198) Alb(6894) Bis(4729) Axe(11064);
18/12/24;23402789;Ragto;1122961;Alb Iri Neb Mor Kei Krv;4750768;Fron;961495;Ruf Ami Neb Hei Pol Axe;Alb(11064) Cai(9018) Axe(11064) Fen(7804) Oli(11064);Oli(11064) Axe(9428) Cai(9428) Alb(9428) Kho(9428);
17/12/24;23402789;Ragto;1146872;Axe Iri Seb Cel Dan Krv;4846016;RCZ;1103909;Ast Kei Jor Ori Mar Fen;Alb(11064) Fen(7804) Axe(11064) Cai(9018) Oli(11064);Bis(11064) Fen(11064) Oli(6676) Mar(9018) Axe(11064);
17/12/24;4542929;Astro;1101289;Axe Hel Dor Ori Dan Krv;11089917;КИЯНИН;1070535;Dan Neb Seb Iri Dor Axe;Bis(9428) Axe(11064) Mer(9428) Fen(9428) Oli(11064);Fen(9064) Cai(4773) Oli(4773) Alb(11064) Axe(11064);
17/12/24;4208957;patlacoche;1184362;Axe Mar Seb Kai K'A Krv;4489790;Ap4ihh;1041552;Gal K'A Yas Dan The Axe;Axe(11064) Alb(11064) Bis(11064) Mar(11064) Oli(11064);Oli(10028) Fen(6894) Alb(10154) Cai(6484) Axe(11064);
17/12/24;4454896;Team D;1071909;Kho Hel Aug Ori Seb Aur;4744280;Haeger;1113439;Gal K'A Yas Jor Krn Oli;Mer(6676) Alb(11064) Axe(11064) Oli(11064) Cai(11064);Oli(11064) Vex(3097) Fen(5003)  ###  Bis(6894);
17/12/24;4454896;Team D;1069916;Axe Hel Aug Ori Neb Aur;4398340;Desperados;1112685;Krv K'A Yas Dan The Axe;Mer(6676) Alb(11064) Axe(11064)  ###  Cai(11064);Oli(11064) Mar(9778) Alb(11064) Cai(10567) Axe(11064);
17/12/24;4587443;Momi;1162476;Axe Mar Isa Cel Dan Krv;4302359;Kahn;907732;Krv May Kei Mor Pho Alb;Oli(11064) Mar(11064) Axe(11064) Cai(11064) Bis(11064);###   ###  Alb(11064)  ###   ###;
17/12/24;4668830;TrumpReturns;1085963;Axe Iri Seb Isa K'A Aur;4212955;J.B.;1125012;Krv Sat Cel Isa Neb Axe;Bis(9062) Alb(11064) Oli(9018) Vex(10154) Cai(11064);Oli(11064) Axe(11064) Kho(11064) Mar(6327) Cai(6327);
17/12/24;4292840;Mangas;1127127;Fen LaC Seb Neb Yas Krv;4254865;MICASA;930849;Krv Yas Dan Jor Mar Oli;Vex(8782) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Bis(2997) Alb(10154) Fen(10154) Axe(2970) Oli(11064);
17/12/24;23402789;Ragto;1146872;Axe Iri Seb Cel Dan Krv;4451506;Argo;1124329;Krv Yas Kei Mor Mar Alb;Alb(11064) Fen(7804) Axe(11064) Cai(9018) Oli(11064);Alb(11064) Cai(11064) Fen(11064) Axe(11064) Oli(7804);
17/12/24;4292840;Mangas;1127127;Fen LaC Seb Neb Yas Krv;4742986;Ojo;1054186;Krv Yas Kei Mor Mar Axe;Vex(8782) Alb(11064) Cai(11064) Fen(11064) Oli(11064);Alb(11064) Cai(11064) Fen(11064) Axe(11064) Oli(11064);
17/12/24;4868542;stratis;1068174;Axe Hel Ori Neb Mor Aur;4598759;Rompehuesos;1144627;Ruf Kay Yas Dan The Oli;Kho(11064) Mer(11064)  ###  Axe(11064) Cai(11064);Oli(11064) Bis(11064) Cai(11064) Fen(9018) Axe(11064);
14/12/24;23402789;Ragto;1122961;Alb Iri Neb Mor Kei Krv;4820676;Onkel Wowa;1113171;Ruf Ami Neb Seb Hei Axe;Alb(11064) Cai(9018) Axe(11064) Fen(7804) Oli(11064);Axe(11064) Oli(11064) Cai(11064) Fen(11064) Alb(11064);
14/12/24;4712527;HRCAK;1121794;Alb Mar Jhu Mor Yas Aur;4804299;1_3;925752;Ruf Seb Hei Iri Dor Axe;Oli(11064) Fen(11064) Axe(11064) Alb(11064) Cai(11064);Oli(11064) Fen(8211) Alb(11064) Bis(9020) Axe(11064);
